Title,Price,Ratings,Reviews,Date,Time
"GOVO GOBASS 910 Wired Metal Earphones with 9mm Drivers,Tangle Free cable & 3.5mm Jack Wired Headset  (Gun Metal Gray, In the Ear)",₹299,3.8,"['324 Ratings &', '66 Reviews']",2023-05-29,15:01:47
"GOVO GOBOLD 400 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-29,15:01:48
N/A,N/A,N/A,[],2023-05-29,15:01:49
N/A,N/A,N/A,[],2023-05-29,15:01:50
"GOVO GOBOLD 610 Bluetooth Wireless On Ear Headphones with 40mm Drivers &15H Playtime Bluetooth Headset  (Platinum Black, On the Ear)",N/A,N/A,[],2023-05-29,15:01:51
"GOVO GOBUDS 400 True Wireless in Ear Earbuds, ENC, 25H Playtime, Fast Charge,Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,189",3.6,"['272 Ratings &', '89 Reviews']",2023-05-29,15:01:52
"GOVO GOBUDS 410 True Wireless in Ear Earbuds, 20 Hours Battery,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,099",3.7,"['424 Ratings &', '83 Reviews']",2023-05-29,15:01:54
"GOVO GOBUDS 600 True Wireless Earbuds,ENC,40H Playtime,Fast Charge,IPX5 & Type C Bluetooth Headset  (Platinum Black, True Wireless)","₹1,299",3.9,"['409 Ratings &', '77 Reviews']",2023-05-29,15:01:55
N/A,N/A,N/A,[],2023-05-29,15:01:56
N/A,N/A,N/A,[],2023-05-29,15:01:56
"GOVO GOBUDS 920 True Wireless Earbuds, 30H Battery, Fast Charge ,IPX5 & Dual pairing Bluetooth Headset  (Platinum Black, True Wireless)","₹2,747",4,"['182 Ratings &', '38 Reviews']",2023-05-29,15:01:58
"GOVO GOCRUSH 410 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 4 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,399",4.1,"['234 Ratings &', '43 Reviews']",2023-05-29,15:01:59
"GOVO GOCRUSH 421 - Bluetooth Speaker, 1800mAh - 15H Battery, IPX7 & ABS Fabric 5 W Bluetooth Speaker  (Platinum Black, Stereo Channel)","₹1,210",3.7,"['274 Ratings &', '49 Reviews']",2023-05-29,15:02:01
N/A,N/A,N/A,[],2023-05-29,15:02:02
"GOVO GOKIXX 400 Bluetooth Neckband, 9H Battery, 10mm Drivers, Magnetic buds, Type C Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",3.5,"['130 Ratings &', '29 Reviews']",2023-05-29,15:02:03
N/A,N/A,N/A,[],2023-05-29,15:02:04
N/A,N/A,N/A,[],2023-05-29,15:02:05
"GOVO GOKIXX 610 Bluetooth Neckband, 12H Battery, Magnetic Buds,
 Lightweight Design Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.6,"['95 Ratings &', '28 Reviews']",2023-05-29,15:02:06
N/A,N/A,N/A,[],2023-05-29,15:02:08
"GOVO GOKIXX 621 Bluetooth Neckband|22H Battery-Fast Charge,ENC & Smart Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,199",4.4,"['80 Ratings &', '42 Reviews']",2023-05-29,15:02:09
"GOVO GOKIXX 630 Bluetooth Neckband,10H Battery-Fast Charge,Dual Pairing,Magnetic Buds Bluetooth Headset  (Platinum Black, In the Ear)","₹1,499",3.8,"['133 Ratings &', '39 Reviews']",2023-05-29,15:02:10
"GOVO GOKIXX 651 Bluetooth Neckband, 12H Battery-Fast Charge, Metal Magnetic Buds Bluetooth Headset  (Graphite Gray, In the Ear)","₹1,599",3.9,"['208 Ratings &', '59 Reviews']",2023-05-29,15:02:12
N/A,N/A,N/A,[],2023-05-29,15:02:12
N/A,N/A,N/A,[],2023-05-29,15:02:13
"GOVO GOSURROUND 410 Max 2.0 Channel Soundbar with HDMI|AUX|USB|OPT & LED Display 40 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹3,499",4.3,"['329 Ratings &', '96 Reviews']",2023-05-29,15:02:14
N/A,N/A,N/A,[],2023-05-29,15:02:15
"GOVO GOSURROUND 610 | 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹5,299",4.3,"['329 Ratings &', '96 Reviews']",2023-05-29,15:02:16
"GOVO GOSURROUND 620 Max 2.1 Channel Soundbar, 5.25"" Subwoofer & LED Display 100 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹16,999",4.8,[],2023-05-29,15:02:17
"GOVO GOSURROUND 900 | 200 W Bluetooth Soundbar  (Platinum Black, 2.1 Channel)","₹6,599",4.3,"['329 Ratings &', '96 Reviews']",2023-05-29,15:02:18
N/A,N/A,N/A,[],2023-05-29,15:02:19
N/A,N/A,N/A,[],2023-10-03,11:06:20
N/A,N/A,N/A,[],2023-10-03,11:06:20
N/A,N/A,N/A,[],2023-10-03,11:06:20
N/A,N/A,N/A,[],2023-10-03,11:06:20
"GOVO GOBASS 411 in Ear Wired Earphones with HD Mic, 10mm Dynamic Driver & 3.5mm Jack Wired Headset  (White, In the Ear)",N/A,N/A,[],2023-10-03,11:06:21
